OBJECTID,RecKey,SeqNo,RecType,GapStart,GapEnd,Gap,DateLoadedInDb,PrimaryKey,DBKey,GlobalID
3856276,1810150929098066,1479,C,2413,2392,21,2018-09-01,18082713232751312018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{BC077E20-A9B6-4BBA-A46F-C9B6046AA589}
3856277,1810150929098066,1480,C,2098,1926,172,2018-09-01,18082713232751312018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{B5B71DD6-BEC6-48FD-AFCD-A6A67552F7B9}
3856278,1810150929098066,1481,C,1444,1378,66,2018-09-01,18082713232751312018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{DF174BF2-A9CD-4641-9EC1-C2591B8FE957}
3856279,1810150929098066,1482,C,1370,1298,72,2018-09-01,18082713232751312018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{40355907-0E4A-4A36-959A-34E44E301E61}
3856280,1810150929098066,1483,C,985,959,26,2018-09-01,18082713232751312018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{70689480-228F-444E-9939-8914EEC1E68E}
3856281,1810150929098066,1484,C,897,874,23,2018-09-01,18082713232751312018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{55301575-3674-4286-9CF4-A466EA875F6C}
3856282,1810150929098066,1485,C,847,741,106,2018-09-01,18082713232751312018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{7F521865-EF0C-4734-9389-C2359FBABACF}
3856283,1810150929098066,1486,C,649,604,45,2018-09-01,18082713232751312018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{AC7AE71F-88B3-4367-9FD3-8FEE576A4783}
3856284,1810150929098066,1487,C,573,534,39,2018-09-01,18082713232751312018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{EE20482F-3576-4A68-9B06-FE0A2FEB0221}
3856285,1810150929098066,1488,C,483,454,29,2018-09-01,18082713232751312018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{5A89A071-18BF-4271-9FFB-184F81C301BA}
3856286,1810150929098066,1489,C,387,346,41,2018-09-01,18082713232751312018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{F471499B-D6B2-4AB2-B73F-B026568B98CF}
3856287,1810150929098066,1490,C,338,293,45,2018-09-01,18082713232751312018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{DB77BB58-0B1C-4E44-8C8B-8C09E698A740}
3856288,1810150929098066,1491,C,286,226,60,2018-09-01,18082713232751312018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{66C649CC-A57F-4DF1-9565-FC4E0EED96B2}
3856289,1810150929098066,1492,C,213,192,21,2018-09-01,18082713232751312018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{15CCEC34-81CC-488B-A754-4ABEA1BAF3D8}
3856290,1810150929098066,1493,C,156,119,37,2018-09-01,18082713232751312018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{344AE344-D6E9-4B1A-A6D1-3C19F2FD0FE1}
3856291,1810150929098066,1494,C,116,93,23,2018-09-01,18082713232751312018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{B197D0CB-15C0-47D3-ABDE-6C7F66A8625A}
3856292,1810150929098066,1495,C,91,15,76,2018-09-01,18082713232751312018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{9B8A5852-C242-4D89-B847-B12D197FA63B}
