OBJECTID,SiteKey,PlotKey,DateModified,Actual.Eco.Site,PlotID,EstablishDate,State,County,Directions,AvgPrecip,AvgPrecipUOM,EcolSite,Soil,ParentMaterial,Slope,Aspect,ESD_SlopeShape,LandscapeType,LandscapeTypeSecondary,MgtUnit,GPSCoordSys,Datum,Zone,Easting,Northing,Elevation,ElevationType,RecentWeatherPast12,RecentWeatherPrevious12,DisturbWildfire,DisturbRodents,DisturbMammals,DisturbWater,DisturbWind,DisturbWaterSoilDep,DisturbWindSoilDep,DisturbUndgroundUtils,DisturbOverhdTransLines,DisturbOther,DisturbOtherDesc,WildlifeUse,MgtHistory,OffsiteInfluences,Comments,ESD_MLRA,ESD_CRA,ESD_Region,ESD_Investigators,ESD_Bedrock,ESD_CommunityDescription,ESD_MajorLandform,ESD_ComponentLandform,HillslopeType,ESD_GeomorphicComp,ESD_RunIn_RunOff,ESD_SlopeComplexity,ESD_Root_density,ESD_Root_Depth,ESD_Root_Notes,ESD_DKDate,ESD_DKObservers,ESD_LitterClass,ESD_BiologicalCrustClass,ESD_PctGrassCover,ESD_ResourceRetentionClass,ESD_bareGapPatchSize,ESD_grassPatchSize,ESD_ResourceRetentionNotes,ESD_Pedoderm_Class,ESD_SurfaceNotes,ESD_SubsurfaceNotes,ESD_Compaction,ESD_Series,ESD_ParticleSizeClass,ESD_Mineralogy,ESD_SoilTempRegime,ESD_DepthClass,ESD_Subgroup,ESD_Greatgroup,ESD_Reaction,ESD_SoilMoistureRegime,ESD_CationExchangeActivityClass,ESD_Epipedon,ESD_Subsurface_features,ESD_Depth_to_root_horizon,ESD_Type_root_horizon,ESD_Horizon_notes,ESD_TrackingID,ESD_StateWithinEcologicalSite,ESD_CommunityWithinState,ESD_ErosionPatternClass,ESD_SoilRedistributionClass,Longitude,Latitude,DateLoadedInDb,GlobalID,PrimaryKey,DBKey,ADMINST,SpeciesState,ProjectName,Purpose,PurposeFlag,Design,DesignFlag
69318,1.80719E+15,1.81102E+15,11/5/2018 12:10,MMS,Rip-207,8/30/2018 0:00,CO,Montrose,"Montrose Blm
2465 S Townsend Ave, Montrose, CO 81401
Head south on US-550 S/S Townsend Ave toward Anderson Rd
 Continue to follow US-550 S
 Pass by Chili's Grill & Bar (on the right in 0.5 mi)
24.5 mi

Turn right onto CO-62 W/State Hwy 62/Sherman St
 Continue to follow CO-62 W/State Hwy 62
23.3 mi

Continue onto CO-145 N
17.1 mi

Slight right onto Grand Ave
184 ft

Continue onto CO-145 N/42Z South Rd
 Continue to follow CO-145 N
15.3 mi

Continue onto CO-141 N
19.8 mi

Turn right onto Spring Creek Truck Trail
2.8 mi
West End Re-2
Colorado",16,in, UNKNOWN,95,Residuum weathered from interbedded sanndstone & s,14,160,CC,Hills/Mountains*,Backslope,Allotment,Decimal Degrees,NAD 83,,-108.53902,38.37843,6824,2,Drought,Drought,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skein-Rock outcrop complex,",,,,,,,,,,,,,,,,,,,,-108.53902,38.37843,9/1/2018,{CB54CA72-5D92-40F4-BA82-3189DBD727EE},18110208275958022018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,CO,CO,Colorado Uncompahgre FO 2018,,,,
69319,1.80604E+15,1.80604E+15,11/2/2018 11:53,SD,SD-397,6/4/2018 0:00,CO,Delta,"Montrose Blm
2465 S Townsend Ave, Montrose, CO 81401
 
Take US-50 W to W 5th St in Delta
28 min (23.2 mi)
 
Take G Rd and G50 Rd to US-50 W
8 min (5.0 mi)
 
Turn left onto US-50 W
7 min (8.1 mi)

Turn right onto Wells Gulch Rd
13 min (2.5 mi)
Wells Gulch Rd
Delta, CO 81416",11,in, UNKNOWN,52,"Stony, outwash alluvium",4,192,LC,Terrace**,Tread,Allotment,Decimal Degrees,NAD 83,,-108.23696,38.82104,5571,2,Drought,Drought,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Meeteetse stony loam, 3 to 20 percent slopes",,,,,,,,,,,,,,,,,,,,-108.23696,38.82104,9/1/2018,{F87EE5F8-6E23-4A84-95E0-CD943AF6CC34},18060411321921842018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,CO,CO,Colorado Uncompahgre FO 2018,,,,
69320,1.80604E+15,1.80604E+15,10/22/2018 13:30,SD,SD-325,6/4/2018 0:00,CO,Delta,"Montrose Blm
2465 S Townsend Ave, Montrose, CO 81401
 
Follow S Townsend Ave and US-50 W to Confluence Dr in Delta
27 min (22.7 mi)
 
Head north on S Townsend Ave toward Woodgate Rd
 Pass by Burger King (on the left in 1.8 mi)
6.5 mi

Continue onto US-50 W
15.9 mi

Turn right onto Meeker St
0.1 mi

Turn left at the 2nd cross street onto E 12th St
344 ft

Turn left onto Main St
236 ft
 
Take G Rd and G50 Rd to US-50 W
8 min (5.5 mi)
 
Turn right onto Confluence Dr
0.8 mi

Turn left onto W 5th St
0.2 mi

Continue onto G Rd
1.6 mi

Turn right to stay on G Rd
0.9 mi

Continue onto G50 Rd
1.9 mi

Turn left onto US-50 W
7 min (8.1 mi)

Turn right onto Wells Gulch Rd
25 min (4.6 mi)
38.8462500, -108.2149500",14,in, UNKNOWN,70,"Cobbly, stony outwash alluvium derived from basalt",40,158,LL,Hills/Mountains*,Backslope,Allotment,Decimal Degrees,NAD 83,,-108.21495,38.84625,6286,2,Drought,Drought,0,0,0,0,0,0,0,0,0,0,,,,,Basalt prominent in topsoil layer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saraton-Agua Fria complex,,,,,,,,,,,,,,,,,,,,-108.21495,38.84625,9/1/2018,{401832A1-212D-4313-8667-1C6440CD2610},18060417475223122018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,CO,CO,Colorado Uncompahgre FO 2018,,,,
69321,1.80604E+15,1.80605E+15,11/5/2018 18:26,SD,SD-327,6/5/2018 0:00,CO,Delta,"Montrose Blm
2465 S Townsend Ave, Montrose, CO 81401
 
Follow S Townsend Ave and US-50 W to Confluence Dr in Delta
27 min (22.7 mi)
 
Head north on S Townsend Ave toward Woodgate Rd
 Pass by Burger King (on the left in 1.8 mi)
6.5 mi

Continue onto US-50 W
15.9 mi

Turn right onto Meeker St
0.1 mi

Turn left at the 2nd cross street onto E 12th St
344 ft

Turn left onto Main St
236 ft
 
Take G Rd and G50 Rd to US-50 W
8 min (5.5 mi)
 
Turn right onto Confluence Dr
0.8 mi

Turn left onto W 5th St
0.2 mi

Continue onto G Rd
1.6 mi

Turn right to stay on G Rd
0.9 mi

Continue onto G50 Rd
1.9 mi

Turn left onto US-50 W
1 min (1.0 mi)

Turn right onto Star Nelson Rd
3 min (1.3 mi)
38.7710208, -108.1823265",9,in, UNKNOWN,,,31,160,VC,Hills/Mountains*,Shoulder,Allotment,Decimal Degrees,NAD 83,,-108.18233,38.77102,5285,2,Drought,Drought,0,0,0,0,0,0,0,0,0,0,,None,None,"OHV, full-sized roads present; sighs indicate heavy usage of roads; powerlines about a half a mile to the north",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108.18233,38.77102,9/1/2018,{21A284DD-E073-46FC-BB91-EBF74B042BCE},18060509563978892018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,CO,CO,Colorado Uncompahgre FO 2018,,,,
69322,1.80605E+15,1.80605E+15,11/2/2018 11:53,MMS,MMS-071,6/5/2018 0:00,CO,Mesa,"Take US-50 W to W 5th St in Delta
28 min (23.1 mi)
 
Head north on S Townsend Ave toward E Oak Grove Rd
 Pass by Burger King (on the left in 1.8 mi)
6.5 mi

Continue onto US-50 W
16.7 mi
 
Take G Rd and G50 Rd to US-50 W
8 min (5.0 mi)
 
Turn left onto W 5th St
0.6 mi

Continue onto G Rd
1.6 mi

Turn right to stay on G Rd
0.9 mi

Continue onto G50 Rd
1.9 mi

Turn left onto US-50 W
5 min (5.6 mi)
 
Continue on 650 Rd. Drive to Z S Rd in Mesa County
59 min (18.6 mi)
 
Turn left onto 650 Rd
13.6 mi

Continue onto Z S Rd
2.9 mi

Turn right to stay on Z S Rd
2.1 mi
Z S Rd",21,in, UNKNOWN,26,Mixed loess over alluvium and/or materials,5,220,LL,Terrace**,Tread,Allotment,Decimal Degrees,NAD 83,,-108.48344,38.63841,7969.140137,2,Drought,Drought,0,0,0,0,0,0,0,0,0,0,,Rabbit and deer scat present; cow-calf operation active; grazing occuring in and around the plot.,,BLM road about 200 ft from plot center; OHV trails throughour the surrounding area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mirand-Callan families-Chilson variant complex,",,,,,,,,,,,,,,,,,,,,-108.48344,38.63841,9/1/2018,{F97CB4B3-A535-45CA-B808-4ECF1D1FD735},18060515553867722018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,CO,CO,Colorado Uncompahgre FO 2018,,,,
69323,1.80606E+12,1.80606E+15,11/5/2018 18:26,PJ,SS-223,6/6/2018 0:00,CO,Montrose,"Montrose Blm
2465 S Townsend Ave, Montrose, CO 81401
 
Follow S Townsend Ave and US-50 W to Confluence Dr in Delta
27 min (22.7 mi)
 
Take Sawmill Mesa Rd and 579 Rd to your destination in Montrose County
47 min (19.8 mi)
38.6246900, -108.2788700",13,in,R036XY113CO,B31,Colluvium over residuum weathered from sandstone,1,75,LC,Terrace**,Tread,Allotment,Decimal Degrees,NAD 83,,-108.27887,38.62469,6709,2,Drought,Drought,0,0,0,0,0,0,0,0,0,0,,"Rabbit scat prominent, deer scat present as well. Grazing evident. Cow patties prominent on plot.","Chaining in 1958, seeding and rollerchopping in 2003",,Crested wheat AGCR prominent throughout plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barx-Lazear, very flaggy-Rock outcrop complex",,,,,,,,,,,,,,,,,,,,-108.27887,38.62469,9/1/2018,{8574D569-ED48-4D1E-86A3-2A32F977C4AE},18060608475295222018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,CO,CO,Colorado Uncompahgre FO 2018,,,,
69324,1.80605E+15,1.80628E+15,11/5/2018 15:57,PJ,MMS-072,6/28/2018 0:00,CO,Montrose,"Head north on S Townsend Ave toward E Oak Grove Rd
 Pass by Burger King (on the left in 1.8 mi)
11 min (6.5 mi)
 
Follow W Jay Jay Rd and Jig Rd to 5850 Rd
6 min (3.6 mi)
 
Turn left onto W Jay Jay Rd
1.7 mi

Turn left onto Jig Rd
1.4 mi

Slight left to stay on Jig Rd
0.4 mi

Turn left to stay on Jig Rd
0.1 mi
 
Take Jasmine Rd and Hillside Rd to Holly Rd
6 min (3.9 mi)
 
Turn right at the 1st cross street onto 5850 Rd
0.5 mi

Turn left at the 1st cross street onto Jasmine Rd
1.2 mi

Continue onto Hillside Rd
1.8 mi

Continue onto Holly Rd
0.4 mi
 
Drive to Transfer Rd
22 min (9.3 mi)
 
Slight left to stay on Holly Rd
0.5 mi

Turn left onto Transfer Rd
8.8 mi
15930 Transfer Rd",17,in,R036XY114CO,262,Colluvium over residuum weathered from sandstone/s,2,347,LC,Terrace**,Tread,Allotment,Decimal Degrees,NAD 83,,-108.1319,38.45227,7488,2,Drought,Drought,0,0,0,0,0,0,0,0,0,0,,Deer and rabbit scat present; cow paddies and tracks present; evidence of grazing (grass shorter in some areas and missing seed heads,Hydroaxed in 2010; chained in the 60's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arabrab-Evpark-Parkelei complex, 3-20% slopes",,,,,,,,,,,,,,,,,,,,-108.1319,38.45227,9/1/2018,{FB0B9C64-F350-47DE-ADB9-0CDDAE55E339},18062811461094522018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,CO,CO,Colorado Uncompahgre FO 2018,,,,
69325,1.80606E+12,1.80629E+15,11/5/2018 18:32,MMS,SS-222,6/29/2018 0:00,CO,Delta,"Montrose Blm
2465 S Townsend Ave, Montrose, CO 81401
 
Take US-50 W to D Rd in Delta County
22 min (19.0 mi)
 
Head north on S Townsend Ave toward Woodgate Rd
 Pass by Burger King (on the left in 1.8 mi)
6.5 mi

Continue onto US-50 W
12.4 mi
 
Take 1900 Rd, F Rd, 2000 Rd and 2050 Rd to CO-92 E
11 min (7.2 mi)
 
Turn right onto D Rd
0.8 mi

Continue onto 1900 Rd
1.9 mi

Turn right onto F Rd
1.0 mi

Turn left onto 2000 Rd
1.0 mi

Turn right onto G Rd
0.5 mi

Turn left onto 2050 Rd
1.0 mi

Turn right onto H Rd
0.3 mi

Turn left onto 2075 Rd
0.7 mi

Turn right onto CO-92 E
14 min (13.6 mi)
 
Drive to Coal Rd
36 min (7.5 mi)
 
Turn left onto 3300 Rd
1.5 mi

Turn right onto L 50 Rd
0.9 mi

Turn left to stay on L 50 Rd
0.3 mi

Continue onto Coal Rd
4.9 mi
Delta County
Colorado 81419",17,in,R048AY247CO,22,Glacial outwash and/or old complex landslide depos,10,286,VV,Terrace**,Tread,Allotment,Decimal Degrees,NAD 83,,-107.74771,38.87656,7723,2,Drought,Drought,0,0,0,0,0,0,0,0,0,0,,Deer scat present. Cow patties and tracks present,,,Galls on QUGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cerro stony loam, 10 to 35 percent slopes",,,,,,,,,,,,,,,,,,,,-107.74771,38.87656,9/1/2018,{CF8AB2FB-BB3A-43EE-A9CF-CC70CEA362D5},18062910181447442018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,CO,CO,Colorado Uncompahgre FO 2018,,,,
69326,1.80605E+15,1.80702E+15,11/5/2018 16:00,PJ,MMS-075,7/2/2018 0:00,CO,Montrose,"Take US-550 S, CO-62 W/State Hwy 62, CO-145 N and CO-141 N to S17 Rd
2 h 1 min (102 mi)
 
Head south on US-550 S/S Townsend Ave toward Woodgate Rd
 Continue to follow US-550 S
 Pass by Chili's Grill & Bar (on the right in 0.6 mi)
24.6 mi

Turn right onto CO-62 W/State Hwy 62/Sherman St
 Continue to follow CO-62 W/State Hwy 62
23.3 mi

Continue onto CO-145 N
17.1 mi

Slight right onto Grand Ave
184 ft

Continue onto CO-145 N/42Z South Rd
 Continue to follow CO-145 N
15.3 mi

Continue onto CO-141 N
21.2 mi
 
Drive to S15 Rd
45 min (11.2 mi)
 
Turn right onto S17 Rd
0.7 mi

Turn right to stay on S17 Rd
2.1 mi

Slight left onto R18 Rd
1.6 mi

Turn right onto S15 Rd
 Destination will be on the right
6.8 mi
S15 Rd
Naturita, CO 81422",16,in, UNKNOWN,95,Residuum weathered from interbedded sandstone & sh,8,247,LC,Terrace**,Tread,Allotment,Decimal Degrees,NAD 83,,-108.6808074,38.4788406,6617,2,Drought,Drought,0,0,0,0,0,0,0,0,0,0,,Elk and cattle scat present,Chaining in the 60's; grass diversity is not apparent in the aftermath. Game trails present. Chained woody debris throughout site and surrounding area,Historic uranium mining road about 200 ft. away from plot center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skein-Rock outcrop complex, 3 to 65% clopes",,,,,,,,,,,,,,,,,,,,-108.6808074,38.4788406,9/1/2018,{D402EDA1-5799-4D13-B5C6-9617957D0647},18070213554535752018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,CO,CO,Colorado Uncompahgre FO 2018,,,,
69327,1.80604E+15,1.80703E+15,11/5/2018 18:00,SD,SD-331,6/25/2018 0:00,CO,Delta,"Montrose Blm
2465 S Townsend Ave, Montrose, CO 81401

Head north on S Townsend Ave toward Woodgate Rd
 Pass by Burger King (on the left in 1.8 mi)
6.5 mi

Continue onto US-50 W
16.7 mi

Turn left onto W 5th St
0.6 mi

Continue onto G Rd
1.6 mi

Continue onto Sawmill Mesa Rd
4.4 mi

Slight right onto Escalante Rim Rd
1.6 mi

Slight left onto Sawmill Mesa Cutoff Rd
1.2 mi
Sawmill Mesa Cutoff Rd
Delta, CO 81416",10,in, UNKNOWN,,,4,351,LL,Flat Plain,,Allotment,Decimal Degrees,NAD 83,,-108.21142,38.69866,5459,2,Drought,Drought,0,0,0,0,0,0,0,0,0,0,,"Deer, Sheep, Rabbit scat found. Likely sheep scat present, appears older. Some grazing observed.",None,Escalante rim road 1/3 mile to the east. Maintained 2-track just outside plot to nw. 1 mountain biker came down 2 track while monitoring.,manny grasshoppers observed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108.21142,38.69866,9/1/2018,{9CB8DB5C-3A5D-4A2E-966E-DFC67D12B529},18070308520091982018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,CO,CO,Colorado Uncompahgre FO 2018,,,,
