OBJECTID,ProjectName,EcologicalSiteId,PlotID,PlotKey,Latitude_NAD83,Longitude_NAD83,DateEstablished,DateVisited,BareSoilCover,TotalFoliarCover,GapCover_25_50,GapCover_51_100,GapCover_101_200,GapCover_200_plus,GapCover_25_plus,AH_SagebrushCover,Hgt_Woody_Avg,Hgt_Herbaceous_Avg,Hgt_NonSagebrushShrub_Avg,SoilStability_All,SoilStability_Protected,SoilStability_Unprotected,AH_NoxPerenForbCover,AH_NoxAnnForbCover,AH_NoxPerenGrassCover,AH_NoxAnnGrassCover,AH_NoxAnnForbGrassCover,AH_NoxPerenForbGrassCover,AH_NoxSucculentCover,AH_NoxShrubCover,AH_NoxSubShrubCover,AH_NoxTreeCover,NumSpp_NoxPlant,AH_NonNoxPerenForbCover,AH_NonNoxAnnForbCover,AH_NonNoxPerenGrassCover,AH_NonNoxAnnGrassCover,AH_NonNoxAnnForbGrassCover,AH_NonNoxPerenForbGrassCover,AH_NonNoxSucculentCover,AH_NonNoxShrubCover,AH_NonNoxSubShrubCover,AH_NonNoxTreeCover,Hgt_NonNoxPerenGrass_Avg,Hgt_NoxPerenGrass_Avg,DateLoadedInDb,PrimaryKey,NumSpp_NonNoxPlant,Hgt_PerenGrass_Avg,FH_NoxPerenGrassCover,FH_NoxShrubCover,FH_TotalLitterCover,FH_NoxSubShrubCover,FH_NoxSucculentCover,FH_NoxTreeCover,FH_VagrLichenCover,FH_EmbLitterCover,FH_RockCover,FH_WoodyLitterCover,FH_NonNoxAnnGrassCover,FH_NonNoxTreeCover,FH_CyanobacteriaCover,FH_NonNoxSubShrubCover,FH_WaterCover,FH_HerbLitterCover,FH_NonNoxPerenForbCover,FH_DepSoilCover,FH_NonNoxPerenGrassCover,FH_NoxAnnForbCover,FH_NonNoxAnnForbCover,FH_LichenCover,FH_NonNoxShrubCover,FH_SagebrushCover,FH_NoxPerenForbCover,FH_NoxAnnGrassCover,FH_NonNoxSucculentCover,RH_Rills,RH_WaterFlowPatterns,RH_BareGround,RH_Gullies,RH_WindScouredAreas,RH_LitterMovement,RH_SoilSurfResisErosion,RH_SoilSurfLossDeg,RH_Compaction,RH_FuncSructGroup,RH_DeadDyingPlantParts,RH_LitterAmount,RH_AnnualProd,RH_InvasivePlants,RH_ReprodCapabilityPeren,RH_CommentsSS,RH_CommentsHF,RH_CommentsBI,AH_NonNoxCover,EcolSiteName,County,State,AH_SagebrushCover_Live,Hgt_Sagebrush_Live_Avg,Hgt_Sagebrush_Avg,SagebrushShape_Live_ColumnCount,SagebrushShape_Live_SpreadCount,SagebrushShape_All_ColumnCount,SagebrushShape_All_SpreadCount,SagebrushShape_Live_Predominant,SagebrushShape_All_Predominant,AH_PerenGrassCover,AH_PerenForbCover,AH_PerenForbGrassCover,Hgt_PerenForbGrass_Avg,Hgt_PerenForb_Avg,AH_ShrubCover,AH_NonSagebrushShrubCover,Spp_PreferredForb,AH_PreferredForbCover,NumSpp_PreferredForb,AH_AnnGrassCover,AH_GrassCover,AH_ForbCover,AH_TallPerenGrassCover,AH_ShortPerenGrassCover,Spp_TallPerenGrass,Spp_ShortPerenGrass,Hgt_TallPerenGrass_Avg,Hgt_ShortPerenGrass_Avg,Hgt_Grass_Avg,Hgt_Forb_Avg,Spp_Sagebrush,AH_NoxCover,Spp_Nox,FH_MossCover,FH_DuffCover,DBKey,RH_PedestalsTerracettes,RH_PlantCommunityComp,RH_BioticIntegrity,GlobalID,RH_HydrologicFunction,RH_SoilSiteStability,created_user,created_date,last_edited_user,last_edited_date,AH_WoodyLitterCover,AH_HerbLitterCover,AH_TotalLitterCover,Purpose,PurposeFlag,Design,DesignFlag,Hgt_Shrub_Avg,SpeciesState
42520,Colorado Uncompahgre FO 2018, UNKNOWN,RI-207,1.81E+15,38.37843,-108.53902,8/30/2018 0:00,8/30/2018 0:00,6,80.66666667,1.48,2.09333333,10.53333333,8.41333333,22.52,0,323.4074074,10.83333333,236.8461539,3.38888889,4.58333333,1,0,0,0,0,0,0,0,0,0,0,0,0.66666667,0,2,0,0,2.66666667,0.66666667,60.66666667,0,36,9.4,,9/1/2018,18110208275958022018-09-01,19,9.4,0,0,11.33333333,0,0,0,0,0,2,0.66666667,0,36,0,0,0,10.66666667,0,0,1.33333333,0,0,0,42.66666667,0,0,0,0.66666667,,,,,,,,,,,,,,,,,,,80.66666667,,Montrose,CO,0,,,,,,,,,2,0.66666667,2.66666667,9.4,,60.66666667,60.66666667,OPFR; TEIV; OPPO; PAMU11; PEPA8,1.33333333,5,0,2,0.66666667,0,2,ACHY; PLJA,POSE,,9.4,9.4,,,0,,0,0,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,,,,{68E0F28A-6A34-4AA4-96EB-5BF9FD304034},,,DBROWNING,4/6/2020 20:10,DBROWNING,12/3/2020 18:16,9.33333333,86,86.66666667,,,,,236.8461539,CO
42521,Colorado Uncompahgre FO 2018, UNKNOWN,SD-397,1.81E+15,38.82104,-108.23696,6/4/2018 0:00,6/4/2018 0:00,19.33333333,36,17.56,22.8,25.50666667,0,65.86666667,0,14.16666667,21,15.25,2.83333333,3,2.625,0,0,0,0,0,0,0,0,0,0,1,0,0,32,0,0,32,0.66666667,4,0,0,21,,9/1/2018,18060411321921842018-09-01,11,21,0,0,20.66666667,0,0,0,0,0,22,2,0,0,0.66666667,0,0,18.66666667,0,0,32,0,0,0,3.33333333,0,0,0,0.66666667,,,,,,,,,,,,,,,,,,,36,,Delta,CO,0,,,,,,,,,32,0,32,21,,4,4,OPPO; SPCO; PHCRC,0.66666667,3,0,32,0,32,0,PLJA,,21,,21,,,0,BRTE,1.33333333,0,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,,,,{C17824B3-DE0B-45FA-934A-E347140B1671},,,DBROWNING,4/6/2020 20:10,DBROWNING,12/3/2020 18:16,2,39.33333333,41.33333333,,,,,8.66666667,CO
42522,Colorado Uncompahgre FO 2018, UNKNOWN,SD-325,1.81E+15,38.84625,-108.21495,6/4/2018 0:00,6/4/2018 0:00,4,51.33333333,17.70666667,13.85333333,1.54666667,2.96,36.06666667,0,19.11111111,30.21428571,14.5,3.88888889,4.22222222,3.55555556,0,0,0,0,0,0,0,0,0,0,1,0.66666667,0,46,0,0,46.66666667,4.66666667,1.33333333,1.33333333,0,30.21428571,,9/1/2018,18060417475223122018-09-01,15,30.21428571,0,0,14,0,0,0,0,0,30.66666667,0,0,0,0,1.33333333,0,14,0.66666667,0,44,0,0,0,1.33333333,0,0,0,4,,,,,,,,,,,,,,,,,,,51.33333333,,Delta,CO,0,,,,,,,,,46,0.66666667,46.66666667,30.21428571,,1.33333333,2.66666667,OPPO; SPCO,3.33333333,2,0,46,0.66666667,46,0,HECO26; PLJA; ACHY,,30.21428571,,30.21428571,,,0,BRTE,0,0,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,,,,{C1C2542C-5740-401B-8010-2F096D2F9015},,,DBROWNING,4/6/2020 20:10,DBROWNING,12/3/2020 18:16,0,32.66666667,32.66666667,,,,,27,CO
42523,Colorado Uncompahgre FO 2018, UNKNOWN,SD-327,1.81E+15,38.77102,-108.18233,6/5/2018 0:00,6/5/2018 0:00,37.33333333,15.33333333,3.76,9.28,8.21333333,66.49333333,87.74666667,0,10.66666667,17.22222222,10.66666667,2.66666667,4,2.4,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,6,0,9.33333333,0,0,18.875,,9/1/2018,18060509563978892018-09-01,15,18.875,0,0,4.66666667,0,0,0,0,0,42.66666667,0,0,0,0,0,0,4.66666667,0,0,6,0,0,0,9.33333333,0,0,0,0,,,,,,,,,,,,,,,,,,,15.33333333,,Delta,CO,0,,,,,,,,,6,0,6,17.22222222,4,9.33333333,9.33333333,SPCO; PHCRC; OPPO,0,3,0,6,0,6,0,PLJA; ACHY,,18.875,,18.875,4,,0,BRTE,0,0,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,,,,{8C82CD2E-3F02-4B7A-AFE1-EBA14BE4F59F},,,DBROWNING,4/6/2020 20:10,DBROWNING,12/3/2020 18:16,0,13.33333333,13.33333333,,,,,10.66666667,CO
42524,Colorado Uncompahgre FO 2018, UNKNOWN,MMS-071,1.81E+15,38.63841,-108.48344,6/5/2018 0:00,6/5/2018 0:00,12,62.66666667,3.78666667,5.6,11.74666667,20.09333333,41.22666667,6,216.6538461,15.94736842,162.7142857,2.55555556,2.84615385,1.8,0,0,0,0,0,0,0,0,0,0,0,1.33333333,0,10.66666667,0,0,12,0,30,0,28,18.53333333,,9/1/2018,18060515553867722018-09-01,36,18.53333333,0,0,24,0,0,0,0,0,1.33333333,7.33333333,0,28,0,0,0,16.66666667,0.66666667,0,7.33333333,0,0,0,26.66666667,4.66666667,0,0,0,,,,,,,,,,,,,,,,,,,62.66666667,,Mesa,CO,4.66666667,61,50.2,,,,,,,10.66666667,1.33333333,12,16.72222222,7.66666667,30,25.33333333,TAOF; PEPU7; OPPO; SELA; CRFL5; TEIV; PHLO2; EREA; ERRA3; ERUM; HEFO9; PECO5,1.33333333,12,0,10.66666667,1.33333333,6,4.66666667,ELEL5; KOMA; PASM; POFE,BOGR2; POSE,16,22.6,18.53333333,6.25,ARTRW8; ARTRT,0,,0,0,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,,,,{E5D7F4FE-610C-4AE2-B7FC-666F1B6833A8},,,DBROWNING,4/6/2020 20:10,DBROWNING,12/3/2020 18:16,20,80.66666667,82.66666667,,,,,115.8333333,CO
42525,Colorado Uncompahgre FO 2018,R036XY113CO,SS-223,1.81E+15,38.62469,-108.27887,6/6/2018 0:00,6/6/2018 0:00,22,28,16.81333333,24.32,11.14666667,13.25333333,65.53333333,0.66666667,20.69230769,20.4,11.44444444,4,3.4,4.23076923,0,0,0,0,0,0,0,0,0,0,0,2,0,22.66666667,0,0,24.66666667,0,0,1.33333333,4.66666667,22.57692308,,9/1/2018,18060608475295222018-09-01,24,22.57692308,0,0,34.66666667,0,0,0,0,0,15.33333333,8.66666667,0,4.66666667,0,1.33333333,0,26,2,0,20,0,0,0,0,0.66666667,0,0,0,,,,,,,,,,,,,,,,,,,28,,Montrose,CO,0.66666667,25.66666667,25.66666667,,,,,,,22.66666667,2,24.66666667,21.06896552,8,0,0.66666667,TEIV; ERRA3; OPPO; HYFI; PHHO; SPCO; HEVI4; ERAL4; ASAM5; PEST2,2,10,0,22.66666667,2,22.66666667,0,AGCR; ACHY; LECI4,,22.57692308,,22.57692308,6.25,ARFR4,0,,0,0,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,,,,{4DBAE011-209A-4F8F-87BE-468B65EAAB24},,,DBROWNING,4/6/2020 20:10,DBROWNING,12/3/2020 18:16,14,45.33333333,54,,,,,17,CO
42526,Colorado Uncompahgre FO 2018,R036XY114CO,MMS-072,1.81E+15,38.45227,-108.1319,6/28/2018 0:00,6/28/2018 0:00,18.66666667,44.66666667,8.17333333,12.97333333,21.44,9.8,52.38666667,10.66666667,149.3157895,15.14285714,98,3.33333333,3.33333333,3.33333333,0,0,0,1.33333333,1.33333333,0,0,0,0,0,1,1.33333333,0,13.33333333,0,0,14,0,14,0.66666667,23.33333333,15.14285714,,9/1/2018,18062811461094522018-09-01,37,15.14285714,0,0,30,0,0,0,0,0,4,14,0,22.66666667,2,0,0,16,1.33333333,0,8.66666667,0,0,0,12,8.66666667,0,0,0,,,,,,,,,,,,,,,,,,,44.66666667,,Montrose,CO,8,46.375,42.33333333,,,,,,,13.33333333,1.33333333,14,15.14285714,,14,5.33333333,HEVI4; OPFR; PEPU7; OPPO; STAR10; TRGY; ANPA4; PEKN2; PHLO2; ERUM; ERRA3; ARLU; ERCA14; COUM; ACMI2; PECY4; PESI,1.33333333,17,1.33333333,14,1.33333333,1.33333333,12,ACLE9; KOMA; HOJU; ACHY; AGCR; PASM; HECO26,BOGR2; POSE,13.66666667,15.76470588,15.14285714,,ARNO4; ARTRW8,1.33333333,BRTE,0.66666667,0,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,,,,{182CAEC7-053F-4368-AE92-BD568457D9F5},,,DBROWNING,4/6/2020 20:10,DBROWNING,12/3/2020 18:16,32,65.33333333,70,,,,,52.45454545,CO
42527,Colorado Uncompahgre FO 2018,R048AY247CO,SS-222,1.81E+15,38.87656,-107.74771,6/29/2018 0:00,6/29/2018 0:00,4.66666667,75.33333333,7.37333333,10.21333333,3.48,0,21.06666667,28.66666667,73.14285714,26.7037037,77,2.94444444,3.28571429,1.75,0,0,0,0,0,0,0,0,0,0,0,4.66666667,1.33333333,39.33333333,0,1.33333333,42.66666667,0,54.66666667,0,0.66666667,27.66666667,,9/1/2018,18062910181447442018-09-01,35,27.66666667,0,0,16,0,0,0,0,0,4,3.33333333,0,0.66666667,0,0,0,12.66666667,2,0,16,0,1.33333333,0,54,26.66666667,0,0,0,,,,,,,,,,,,,,,,,,,75.33333333,,Delta,CO,18,73.88888889,70.25,,,,,,,39.33333333,4.66666667,42.66666667,27.03846154,24.4,54.66666667,30,OPFR; ERSP4; PHLO2; ASAM5; ERCO24; LALA3; HEFO9; IPAG; SPCO; CRAC2; PEKN2; ACMI2; ANPA4; PAST10,4.66666667,14,0,39.33333333,6,30.66666667,10.66666667,AGCR; ACHY; ELEL5; BRIN2; POPR,POSE,29.16666667,18.66666667,27.66666667,24.4,ARTRT; ARTRW8,0,,0,0,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,,,,{546C3E37-29EA-4E00-BC00-11637CF3CC6E},,,DBROWNING,4/6/2020 20:10,DBROWNING,12/3/2020 18:16,16,82,86.66666667,,,,,73.14285714,CO
42528,Colorado Uncompahgre FO 2018, UNKNOWN,MMS-075,1.81E+15,38.4788406,-108.6808074,7/2/2018 0:00,7/2/2018 0:00,11.33333333,50.66666667,4.4,3.88,17.49333333,23.22666667,49,8,235.9047619,16.2,,5.5,6,4.875,0,0,0,0,0,0,0,0,0,0,0,0.66666667,0,0.66666667,0,0,1.33333333,0,8,0,42,16.2,,9/1/2018,18070213554535752018-09-01,13,16.2,0,0,24.66666667,0,0,0,0,0,1.33333333,12.66666667,0,42,12,0,0,12,0.66666667,0,0.66666667,0,0,0,7.33333333,7.33333333,0,0,0,,,,,,,,,,,,,,,,,,,50.66666667,,Montrose,CO,4.66666667,63.66666667,63.66666667,,,,,,,0.66666667,0.66666667,1.33333333,16.2,,8,0,ASMO7; ARLI; OPPO; TEIV; OPFR,0.66666667,5,0,0.66666667,0.66666667,0,0.66666667,HECO26; ACHY; ELEL5,POSE,23.5,11.33333333,16.2,,ARTRW8,0,,0,0,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,,,,{A27FE8AA-B2BD-445E-B1D6-097ECAC7562B},,,DBROWNING,4/6/2020 20:10,DBROWNING,12/3/2020 18:16,29.33333333,67.33333333,70.66666667,,,,,63.66666667,CO
42529,Colorado Uncompahgre FO 2018, UNKNOWN,SD-331,1.81E+15,38.69866,-108.21142,6/25/2018 0:00,6/25/2018 0:00,42.66666667,26.66666667,14.17333333,22.62666667,17.05333333,14.13333333,67.98666667,0,20.38461538,15.55172414,18,3.05555556,3.33333333,2.91666667,0,0,0,0,0,0,0,0,0,0,2,0,0,19.33333333,0,0,19.33333333,0.66666667,1.33333333,4.66666667,1.33333333,16.14814815,,9/1/2018,18070308520091982018-09-01,16,16.14814815,0,0,20,0,0,0,0.66666667,0,9.33333333,1.33333333,0,1.33333333,0,4.66666667,0,18.66666667,0,0,19.33333333,0,0,0,1.33333333,0,0,0,0,,,,,,,,,,,,,,,,,,,26.66666667,,Delta,CO,0,,,,,,,,,19.33333333,0,19.33333333,16.14814815,,1.33333333,6,OPPO; CHER2; SPCO,0.66666667,3,0,19.33333333,0,19.33333333,0,ACHY; PLJA; ELEL5; HECO26; SPCR,BOGR2; ARPU9,16.11538462,17,16.14814815,7.5,,0,HAGL; BRTE,0.66666667,0,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,,,,{3DEFF445-44E9-43C0-888D-2ACEA3EB0EE7},,,DBROWNING,4/6/2020 20:10,DBROWNING,12/3/2020 18:16,2.66666667,29.33333333,31.33333333,,,,,18,CO
