OBJECTID,SoilKey,HorizonKey,HorizonDepthUpper,DepthMeasure,Texture,RockFragments,Effer,HorizonColorDry,HorizonColorMoist,StructGrade,StructShape,unused,Nomenclature,HorizonDepthLower,ESD_Horizon,ESD_HorizonModifier,ESD_FragVolPct,ESD_FragmentType,ESD_PetrocalcicRubble,ESD_Gypsic,ESD_PctClay,ESD_Hue,ESD_Value,ESD_Chroma,ESD_Color,ESD_Grade,ESD_Size,ESD_Structure,ESD_StructQual,ESD_Grade2,ESD_Size2,ESD_Structure2,ESD_RuptureResistance,ESD_ClayFilm,ESD_CarbonateStage,ESD_CaCO3EquivPct,ESD_EC,ESD_pH,ESD_GypsumPct,ESD_NAabsorptionRatio,ESD_Notes,ESD_PSAPctSand,ESD_PSAPctSilt,ESD_PSAPctClay,ESD_GravelClassPctFine,ESD_GravelClassPctMed,ESD_GravelClassPctCoarse,ESD_GravelCarbonateCoatPct,ESD_FragmentRoundness,ESD_RootSize,ESD_RootQty,ESD_PoresSize,ESD_PoresQty,ESD_SandFractPctVeryFine,ESD_SandFractPctFine,ESD_SandFractPctMed,ESD_SandFractPctCoarse,ESD_SandFractPctVeryCoarse,ESD_FragVolPct2,ESD_FragmentType2,ESD_FragVolPct3,ESD_FragmentType3,ESD_PctSand,ESD_LabGravelPctFine,ESD_LabGravelPctMed,ESD_LabGravelPctCoarse,DateLoadedInDb,PrimaryKey,DBKey,GlobalID
158455,1810111044126396,1810111048314285,7.000000000000000,cm,SICL,29.000000000000000,NE,,,,,,,70.000000000000000,,,24,1,0,0,45.000000000000000,10YR,4,2.000000000000000,Moist,,,ABK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,,2018-09-01,18062708513744492018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{8889FC6B-2C72-4CA5-91DF-623D4E460F34}
158456,1810111350188405,1810111354507379,0.000000000000000,cm,L,16.000000000000000,NE,,,,,,,5.000000000000000,,,16,1,0,0,2.000000000000000,10YR,2,1.000000000000000,Moist,,,GR,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18062910181447442018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{44071D03-F361-4B6C-B1D6-5377C07F70BF}
158457,1810111350188405,1810111355271136,5.000000000000000,cm,SIL,37.000000000000000,NE,,,,,,,20.000000000000000,,,37,1,0,0,21.000000000000000,10YR,2,2.000000000000000,Moist,,,SBK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18062910181447442018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{93D8FC7E-D6FB-46DF-A788-10F40D61B031}
158458,1810111350188405,1810111356251501,20.000000000000000,cm,SCL,24.000000000000000,ST,,,,,,,31.000000000000000,,,24,1,0,0,29.000000000000000,10YR,3,3.000000000000000,Moist,,,SBK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18062910181447442018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{2FA9910A-1CA8-4A5F-BA15-6AD917A7FF53}
158459,1810111350188405,1810111357209210,31.000000000000000,cm,SIL,22.000000000000000,ST,,,,,,,51.000000000000000,,,22,1,0,0,25.000000000000000,10YR,4,4.000000000000000,Moist,,,ABK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18062910181447442018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{2B5A576B-48CE-4369-B326-E0052C292345}
158460,1810111350188405,1810111358146771,51.000000000000000,cm,SL,17.000000000000000,VE,,,,,,,70.000000000000000,,,17,1,0,0,14.000000000000000,10YR,5,3.000000000000000,Moist,,,SBK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18062910181447442018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{1D8EBAEF-2B9C-4AAB-AE78-BC33EF0FDBEF}
158461,181011150633765,1810111507425801,0.000000000000000,cm,SIL,5.000000000000000,SL,,,,,,,9.000000000000000,,,5,1,0,0,10.000000000000000,5YR,3,3.000000000000000,Moist,,,GR,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18072514484483882018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{D6D3BE07-EF35-46F7-824C-BB23F9EC8247}
158462,181011150633765,181011150822190,9.000000000000000,cm,SIL,39.000000000000000,ST,,,,,,,24.000000000000000,,,39,1,0,0,7.000000000000000,7.5YR,4,2.000000000000000,Moist,,,GR,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18072514484483882018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{756465D0-1BCA-4D7E-AFD7-7690D62EBC0D}
158463,1810151117592166,1810151121505361,0.000000000000000,cm,SCL,26.000000000000000,VS,,,,,,,7.000000000000000,,,26,1,0,0,22.000000000000000,7.5YR,4,2.000000000000000,Moist,,,GR,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18082713232751312018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{FF05F0D8-BC0B-42C9-AC86-8E3D2F6DDCE3}
158464,1810151117592166,1810151127087684,7.000000000000000,cm,SL,26.000000000000000,ST,,,,,,,15.000000000000000,,,26,1,0,0,10.000000000000000,7.5YR,3,4.000000000000000,Moist,,,SBK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18082713232751312018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{4CA99BA1-3C6E-4EE0-8400-61002C892353}
