OBJECTID,PrimaryKey,PlotID,DBKey,Species,AH_SpeciesCover,Hgt_Species_Avg,AH_SpeciesCover_n,Hgt_Species_Avg_n,GrowthHabit,GrowthHabitSub,Duration,Noxious,SG_Group,SpeciesState,State
674615,18110208275958022018-09-01,Rip-207,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,POSE,2.000000000000000,9.400000000000000,3,5,NonWoody,Graminoid,Perennial,NO,ShortStaturePerennialGrass,CO,CO
674616,18110208275958022018-09-01,Rip-207,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,AMUT,2.666667000000000,122.000000000000000,4,1,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674617,18110208275958022018-09-01,Rip-207,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,JUOS,28.666670000000000,420.199999999999989,43,10,Woody,Tree,Perennial,NO,,CO,CO
674618,18110208275958022018-09-01,Rip-207,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PIED,9.333333000000000,481.000000000000000,14,3,Woody,Tree,Perennial,NO,,CO,CO
674619,18110208275958022018-09-01,Rip-207,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,CAGE2,0.666666700000000,18.000000000000000,1,1,NonWoody,Sedge,Perennial,NO,,CO,CO
674620,18110208275958022018-09-01,Rip-207,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,QUGA,58.000000000000000,246.416699999999992,87,12,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674621,18110208275958022018-09-01,Rip-207,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,OPPO,0.666666700000000,8.000000000000000,1,1,Woody,Succulent,Perennial,NO,PreferredForb,CO,CO
674622,18110208275958022018-09-01,Rip-207,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,TEIV,0.666666700000000,,1,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674623,18110208275958022018-09-01,Rip-207,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,YUBA,,,,,Woody,Succulent,Perennial,NO,,CO,CO
674624,18110208275958022018-09-01,Rip-207,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,EPVI,,,,,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674625,18110208275958022018-09-01,Rip-207,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PHAC4,,,,,NonWoody,Forb,Perennial,NO,,CO,CO
674626,18110208275958022018-09-01,Rip-207,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,OPFR,,,,,Woody,Succulent,Perennial,NO,PreferredForb,CO,CO
674627,18110208275958022018-09-01,Rip-207,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,GUSA2,,,,,Woody,SubShrub,Perennial,NO,NonSagebrushShrub,CO,CO
674628,18110208275958022018-09-01,Rip-207,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PF00,,,,,NonWoody,Forb,Perennial,NO,,CO,CO
674629,18110208275958022018-09-01,Rip-207,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ACHY,,,,,NonWoody,Graminoid,Perennial,NO,TallStaturePerennialGrass,CO,CO
674630,18110208275958022018-09-01,Rip-207,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PLJA,,,,,NonWoody,Graminoid,Perennial,NO,TallStaturePerennialGrass,CO,CO
674631,18110208275958022018-09-01,Rip-207,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,CEMO2,,,,,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674632,18110208275958022018-09-01,Rip-207,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PAMU11,,,,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674633,18110208275958022018-09-01,Rip-207,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PEPA8,,,,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674634,18060411321921842018-09-01,SD-397,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ATCO,3.333333000000000,11.000000000000000,5,2,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674635,18060411321921842018-09-01,SD-397,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PLJA,32.000000000000000,21.000000000000000,48,27,NonWoody,Graminoid,Perennial,NO,TallStaturePerennialGrass,CO,CO
674636,18060411321921842018-09-01,SD-397,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,OPPO,0.666666700000000,12.000000000000000,1,2,Woody,Succulent,Perennial,NO,PreferredForb,CO,CO
674637,18060411321921842018-09-01,SD-397,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,SH00,0.666666700000000,4.000000000000000,1,1,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674638,18060411321921842018-09-01,SD-397,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,KOAM,,35.000000000000000,,1,Woody,SubShrub,Perennial,NO,NonSagebrushShrub,CO,CO
674639,18060411321921842018-09-01,SD-397,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ECTR,,,,,Woody,Succulent,Perennial,NO,,CO,CO
674640,18060411321921842018-09-01,SD-397,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,BRTE,,,,,NonWoody,Graminoid,Annual,YES,,CO,CO
674641,18060411321921842018-09-01,SD-397,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,SATR12,,,,,NonWoody,Forb,Annual,NO,,CO,CO
674642,18060411321921842018-09-01,SD-397,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,SPCO,,,,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674643,18060411321921842018-09-01,SD-397,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,EPVI,,,,,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674644,18060411321921842018-09-01,SD-397,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,YUHA,,,,,Woody,Succulent,Perennial,NO,,CO,CO
674645,18060411321921842018-09-01,SD-397,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PHCRC,,,,,NonWoody,Forb,Annual,NO,PreferredForb,CO,CO
674646,18060417475223122018-09-01,SD-325,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,GUSA2,1.333333000000000,10.333330000000000,2,3,Woody,SubShrub,Perennial,NO,NonSagebrushShrub,CO,CO
674647,18060417475223122018-09-01,SD-325,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,HECO26,2.000000000000000,34.000000000000000,3,1,NonWoody,Graminoid,Perennial,NO,TallStaturePerennialGrass,CO,CO
674648,18060417475223122018-09-01,SD-325,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,EPVI,1.333333000000000,27.000000000000000,2,1,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674649,18060417475223122018-09-01,SD-325,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PLJA,44.000000000000000,30.074069999999999,66,27,NonWoody,Graminoid,Perennial,NO,TallStaturePerennialGrass,CO,CO
