OBJECTID,RecKey,subPlotID,subPlotDesc,SpeciesList,DateLoadedInDb,PrimaryKey,DBKey,GlobalID
1491665,1810101506556892,1,,GUSA2,2018-09-01,1806260806284632018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{1B1578DB-175D-4D42-B9B4-3F2C76799F44}
1491666,1810101506556892,1,,ARTRT,2018-09-01,1806260806284632018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{F9C5092C-34AC-4C37-9C59-FDC50F200ACF}
1491667,1810101506556892,1,,AGCR,2018-09-01,1806260806284632018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{3B43A819-ECFB-4092-8245-3AA81F9AC94C}
1491668,1810101506556892,1,,ATCA2,2018-09-01,1806260806284632018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{AF115260-8DD5-4EEE-BCDA-E785296ECCC5}
1491669,1810101506556892,1,,ELEL5,2018-09-01,1806260806284632018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{F030DE77-6667-4D35-8FDB-AF96E82C9440}
1491670,1810101506556892,1,,JUOS,2018-09-01,1806260806284632018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{4BA50DD6-FFDD-48A8-8AA2-5AE04CC0210E}
1491671,1810101506556892,1,,OPPO,2018-09-01,1806260806284632018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{13B94F78-FD6D-4686-91FF-2BD88E7D7304}
1491672,1810101506556892,1,,PIED,2018-09-01,1806260806284632018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{C608C8CE-C2C7-43E3-BBE3-F1584D78BA8B}
1491673,1810101506556892,1,,PLJA,2018-09-01,1806260806284632018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{2A27594E-6F79-43E0-92AD-78D5F80EFA4D}
1491674,1810101506556892,1,,BRTE,2018-09-01,1806260806284632018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{469A8078-9FDB-435F-BDCA-C161960E315E}
1491675,1810101506556892,1,,PF00,2018-09-01,1806260806284632018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{AC90738A-CCD7-461F-824D-10099EDCECE6}
1491676,1810101528263568,1,,PLJA,2018-09-01,18080911375688202018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{5B58C0C3-A18E-4A06-AC5A-03F4EDC72CB1}
1491677,1810101528263568,1,,POSE,2018-09-01,18080911375688202018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{B20ABAA7-7647-4A6A-ADA0-D911761B14D3}
1491678,1810101528263568,1,,ACLE9,2018-09-01,18080911375688202018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{2301DB55-4CD5-43F6-84C9-4346032ABD19}
1491679,1810101528263568,1,,SPCR,2018-09-01,18080911375688202018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{6286D77A-2ED1-421F-92EB-B6A41EB8525B}
1491680,1810101528263568,1,,ACHY,2018-09-01,18080911375688202018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{50435550-3BBE-446B-B28B-F9E155AD1679}
1491681,1810101528263568,1,,BRTE,2018-09-01,18080911375688202018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{F9390041-90B1-4C76-917C-A4063D4A9A88}
1491682,1810101528263568,1,,SPCO,2018-09-01,18080911375688202018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{9A601109-DE94-4FFF-BB42-13EFE4B0616B}
1491683,1810101528263568,1,,KOAM,2018-09-01,18080911375688202018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{33524218-B4DE-4D04-AFBE-468CF4EDB326}
1491684,1810101528263568,1,,OPPOP,2018-09-01,18080911375688202018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{5EB3CF7F-4DC2-4FBD-A28A-9544D6F19783}
