plot_id,point_status
AS-012,Yes
AS-013,Oversample
AS-016,Oversample
AS-017,Oversample
AS-020,Oversample
GR-025,Yes
GR-026,Oversample
GR-027,Oversample
GR-028,Oversample
OT-117,Yes
OT-118,Yes
OT-119,Yes
OT-120,Yes
OT-121,Oversample
OT-122,Oversample
OT-123,Oversample
OT-124,Oversample
OT-125,Oversample
OT-126,Oversample
PJ-155,Yes
PJ-158,Yes
PJ-159,Yes
PJ-160,Yes
PJ-161,Yes
PJ-162,Oversample
PJ-163,Oversample
PJ-164,Oversample
PJ-165,Oversample
PJ-166,Oversample
PJ-167,Oversample
PJ-168,Oversample
PJ-169,Oversample
PJ-170,Oversample
PP-176 ,Yes
PP-177,Oversample
PP-178,Oversample
PP-179,Oversample
PP-180,Oversample
RI-205,Yes
RI-209,Yes
RI-210,Yes
RI-211,Oversample
RI-212,Oversample
RI-213,Oversample
RI-214,Oversample
SS-294,Yes
SS-295,Yes
SS-296,Yes
SS-297,Yes
SS-298,Yes
SS-299,Yes
SS-300,Yes
SS-305,Yes
SS-306,Yes
SS-307,Yes
SS-308,Yes
SS-309,Yes
SS-310,Yes
SS-311,Yes
SS-312,Yes
SS-313,Yes
SS-314,Oversample 
SS-315,Oversample 
SS-316,Oversample 
SS-317,Oversample 
SS-318,Oversample 
SS-319,Oversample 
SS-320,Oversample 
SD-392,Yes
SD-393,Yes
SD-394,Yes
SD-395,Yes
SD-399,Yes
SD-400,Yes
SD-401,Yes
SD-402,Yes
SD-403,Yes
SD-404,Yes
SD-405,Yes
SD-406,Yes
SD-407,Yes
SD-408,Yes
SD-409,Yes
SD-410,Oversample
SD-411,Oversample
SD-412,Oversample
SD-413,Oversample
SD-414,Oversample
MMS-095,Yes
MMS-096,Yes
MMS-097,Yes
MMS-098,Yes
MMS-099,Yes
MMS-100,Oversample
MMS-101,Oversample
MMS-102,Oversample
MMS-103,Oversample
MMS-104,Oversample
MMS-105,Oversample
